Title,Description
Apollo 11,A look at the Apollo 11 mission to land on the moon led by commander Neil Armstrong and pilot Buzz Aldrin.
Death by Hanging,"A Korean man is sentenced to death in Japan but somehow survives his execution, sending the authorities into a panic about what to do next."
Gender Troublemakers,"What happens when two trans women get sick of non-transsexual's uninformed representation of their sexualities and their lives? They grab their 8 millimeter home video camera, their last 200 bucks, and come up with an uncompromising in-your-face flick about their shitty relationships with gay men and their unabashed attraction to other transsexual women."
Scam 1992: The Harshad Mehta Story,"Set in 1980's & 90's Bombay, Scam 1992 follows the life of Harshad Mehta - a stockbroker who single-handedly took the stock market to dizzying heights & his catastrophic downfall. Being directed by National Award-winning filmmaker Hansal Mehta, the series is based on journalist Debashis Basu & Sucheta Dalal's book ""The Scam""."
Good Omens: Lockdown,Aziraphale and Crowley talk over the phone about how they're dealing with the lockdown during the COVID-19 pandemic.
Distant Sky,"Recorded at Copenhagen’s Royal Arena in October 2017, Distant Sky captures an extraordinary and triumphant live concert from Nick Cave & The Bad Seeds. Performing new album Skeleton Tree’s exquisite compositions alongside their essential catalogue, the band’s first shows in 3 years provoked an ecstatic response in fans, critics and band alike, renewing a profound and intimate relationship wherever they played. The band’s acclaimed tour started in Australia in January 2017 before tearing across the USA and ending in Europe, with some of the best reviews of their decorated career."
Linklater: On Cinema and Time,"If cinema is the art of time, Linklater is one of its most thoughtful and engaged directors. Unlike other filmmakers identified as auteurs, Linklater’s distinction is not found on the surface of his films, in a visual style or signature shot, but rather in their DNA, as ongoing conversations with cinema, which is to say, with time itself. A visual essay produced by Sight and Sound."
The Amazonian Angel,"This filmic portrait is born of a double movement: the meeting of Lena Vandrey with our cinematographic universe, our meeting with her pictorial world, her space and her collection of processional figures and articulated dolls. Crossings of imaginations, of mythologies: the South, the origins, the search for a ""greecity"", the search for the magical potential of the image, the feminine one as ""force in love"". Crossings of plastic gestures: one on canvas support, the other on photographic and filmic support. We invited the artist to become herself body-painting, filmed painting. We have staged her texts, her paintings, her objects, her space. Attempt to reveal it as an embodiment of its own mythology."
Gilles Deleuze from A to Z,"L'Abécédaire de Gilles Deleuze is a French television program produced by Pierre-André Boutang in 1988-1989, consisting of an eight-hour series of interviews between Gilles Deleuze and Claire Parnet."
The Collapse,"What if the terrible general ""collapse"" of our civilization, the collapse everyone is talking about right now, really happened soon? Several destinies of individuals and families, at different times of the collapse, trying to survive as best they can in a world that is no longer running smoothly, between lack of resources (energy, food ...), riots, panic and insecurity."
The Hustler,Fast Eddie Felson is a small-time pool hustler with a lot of talent but a self-destructive attitude. His bravado causes him to challenge the legendary Minnesota Fats to a high-stakes match.
My Dinner with Andre,"Two old friends meet for dinner; as one tells anecdotes detailing his experiences, the other notices their differing worldviews."
They Don't Wear Black Tie,"Otavio is an idealistic union leader trying to organize workers at a factory to resist the company's exploitative practices. His son, Tião, one of the employees, is more of a realist and doesn't want to risk losing his job by striking. This clash of perspectives puts the father and son at odds. Fortunately, Tião's mother, Romana, is on hand to act as a moderator between the two opinionated men."
Gaby Amarantos: Rock Doido - O Filme,
Ween: Live in Chicago,Ween bring their unique take on rock 'n' roll to Chicago's Vic Theater. This film documents two nights of their 2003 tour.
Peter Pan Goes Wrong,"The Olivier Award-winning Mischief Theatre brings Peter Pan Goes Wrong to BBC One. As part of its commitment to community theatre, the BBC has commissioned The Cornley Polytechnic Drama Society, an amateur dramatics group, to recreate the JM Barrie classic as part of their festive programming. But can they pull it off? Narrated by David Suchet and filmed in front of a live audience, watch as Peter Pan flies through the air, Captain Hook and his pirates set adrift in the lagoon, and Tinkerbell is due to light up the stage in a stunning electrical costume... what can possibly go wrong?! With their trademark comic mayhem, expect hilarious stunts, chaos, technical hitches, flying mishaps and cast disputes on the way to Neverland with hilarious and disastrous results."
Vagabond,"Mona Bergeron is dead, her frozen body found in a ditch in the French countryside. From this, the film flashes back to the weeks leading up to her death. Through these flashbacks, Mona gradually declines as she travels from place to place, taking odd jobs and staying with whomever will offer her a place to sleep. Mona is fiercely independent, craving freedom over comfort, but it is this desire to be free that will eventually lead to her demise."
Disclosure,"An investigation of how Hollywood's fabled stories have deeply influenced how Americans feel about transgender people, and how transgender people have been taught to feel about themselves."
Guaxuma,Tayra and I grew up on a beach in the north east of Brazil. We were inseparable. The sea breeze brings me back happy memories.
Roger Waters: The Wall,"A concert film that the former Pink Floyd singer-songwriter made on various tour dates between 2010 and 2013, when he was playing his former group's 1980 double-album in its entirety."
Metal and Melancholy,"This documentary is an offbeat ""road movie"" in which acclaimed documentarian Heddy Honigmann travels with, and thereby discovers the stories of, taxi drivers in Lima. In the early 1990s, in response to Peru's inflationary economy and a government destabilized by corruption and Shining Path terrorism, many middle-class professionals used their own cars to moonlight as taxi drivers in order to weather the financial crisis."
Little Amélie or the Character of Rain,"The world is a perplexing, peaceful mystery to Amélie until a miraculous encounter with chocolate ignites her wild sense of curiosity. As she develops a deep attachment to her family's housekeeper, Nishio-san, Amélie discovers the wonders of nature as well as the emotional truths hidden beneath the surface of her family's idyllic life as foreigners in post-war Japan."
The Graduate,A disillusioned college graduate finds himself torn between his older lover and her daughter.
Blade Runner 2049,"Thirty years after the events of the first film, a new blade runner, LAPD Officer K, unearths a long-buried secret that has the potential to plunge what's left of society into chaos. K's discovery leads him on a quest to find Rick Deckard, a former LAPD blade runner who has been missing for 30 years."
Euphoria: Trouble Don't Last Always,"In the aftermath of being left by Jules at the train station and relapsing, Rue celebrates Christmas."
Fantasy,"A group of teens sneak into a pool to drink beer and make out. Suddenly, disturbing things start happening and one of them discovers an unsettling secret at the bottom of the pool."
Mobile Suit Zeta Gundam,"Universal Century 0087, 7 years have passed since the end of the One Year War between the Earth Federation and the Principality of Zeon. The Earth Federation has created an elite task force, known as the Titans, who are responsible for hunting the remaining Zeon forces. However, the power-hungry Titans have spurred the creation of a rebellious faction called the Anti-Earth Union Group (AEUG)."
Mangrove,"The true story of the Mangrove Nine, Frank Crichlow, and the trial that took place at the Old Bailey in 1970."
Apocalypse: World War I,"Colorized historical footage in ascending order of World War 1. Not only the relatively known Flanders and France battles, but also the generally unknown Italian-Austrian, German-Polish-Russian, Japanese-German, Ottoman Empire- Allied and African German Colonies, and other unknown or forgotten fronts and battles."
Bye Bye Tiberias,"In her early twenties, Hiam Abbass left her native Palestinian village to follow her dream of becoming an actress in Europe, leaving behind her mother, grandmother, and seven sisters. Thirty years later, her filmmaker daughter Lina returns with her to the village and questions for the first time her mother’s bold choices, her chosen exile and the way the women in their family influenced both their lives."
"Up, Down, Fragile","A librarian, a gangster's ex-lover and a woman who has recovered from a coma spend an eye-opening summer in Paris."
Days of Heaven,"In 1916, a Chicago steel worker accidentally kills his supervisor and flees to the Texas panhandle with his girlfriend and little sister to work harvesting wheat in the fields of a stoic farmer."
For All Mankind,"A testament to NASA's Apollo program of the 1960s and '70s. Composed of actual NASA footage of the missions and astronaut interviews, the documentary offers the viewpoint of the individuals who braved the remarkable journey to the moon and back."
Task,"In the working-class suburbs of Philadelphia, an FBI agent heads a task force assembled to put an end to a string of violent robberies led by an unsuspecting family man."
Lost Highway,"A tormented jazz musician finds himself lost in an enigmatic story involving murder, surveillance, gangsters, doppelgängers, and an impossible transformation inside a prison cell."
Elevator to the Gallows,"A self-assured businessman murders his employer, husband of his mistress, which unintentionally provokes an ill-fated chain of events."
The Great Beauty,"Jep Gambardella has seduced his way through the lavish nightlife of Rome for decades, but after his 65th birthday and a shock from the past, Jep looks past the nightclubs and parties to find a timeless landscape of absurd, exquisite beauty."
Requiem for a Dream,The drug-induced utopias of four Coney Island residents are shattered when their addictions run deep.
Earthlings,"Using hidden cameras and never-before-seen footage, Earthlings chronicles the day-to-day practices of the largest industries in the world, all of which rely entirely on animals for profit."
Petite Maman,"After the death of her beloved grandmother, eight-year-old Nelly meets a strangely familiar girl her own age in the woods. Instantly forming a connection with this mysterious new friend, Nelly embarks on a fantastical journey of discovery which helps her come to terms with this newfound loss."
Diary of a Country Priest,"An inexperienced, sickly priest shows up in the rural French community of Ambricourt, where he joins the community's clergy. But the locals don't take kindly to the priest, and his ascetic ways and unsociable demeanor make him an outcast. During Bible studies at the nearby girls school, he is continually mocked by his students. Then his attempt to intervene in a family feud backfires into a scandal. His failures, compounded with his declining health, begin to erode his faith."
Camp de Thiaroye,"A Senegalese platoon of soldiers from the French Free Army are returned from combat in France and held for a temporary time in a military encampment with barbed wire fences and guard towers in the desert. Among their numbers are Sergeant Diatta, the charismatic leader of the troop who was educated in Paris and has a French wife and child, and Pays, a Senegalese soldier left in a state of shock from the war and concentration camps and who can only speak in guttural screams and grunts."
The National Parks: America's Best Idea,"Filmed over the course of more than six years at some of nature's most spectacular locales – from Acadia to Yosemite, Yellowstone to the Grand Canyon, the Everglades of Florida to the Gates of the Arctic in Alaska - “The National Parks: America's Best Idea” is nonetheless a story of people: people from every conceivable background – rich and poor; famous and unknown; soldiers and scientists; natives and newcomers; idealists, artists and entrepreneurs; people who were willing to devote themselves to saving some precious portion of the land they loved, and in doing so reminded their fellow citizens of the full meaning of democracy."
Ergo Proxy,"In a futuristic world almost barren of life, mankind is confined to mechanized domed cities where A.I.’s control all aspects of life. In this world, humans are no longer born, they are manufactured in a production line; and alongside them live androids known as autoreivs. Within one of these domed sanctuaries named Romdeau lives Re-l Mayer, one of a few citizens who aren’t entirely prevented from thinking. Her grandfather's prominent position and the affection of the scientist Daedalus have left her more free will than is normally allowed, but Re-l has started to question the sanctity of the city and the citizens' perfect way of life. With mysterious beings known as proxies causing havoc and a man named Vincent causing great influence on her life, Re-l must travel outside of the city to find the answers she seeks and discover the mystery behind ""the awakening""."
Indiana Jones and the Last Crusade,"In 1938, an art collector appeals to eminent archaeologist Dr. Indiana Jones to embark on a search for the Holy Grail. Indy learns that a medieval historian has vanished while searching for it, and the missing man is his own father, Dr. Henry Jones Sr.. He sets out to rescue his father by following clues in the old man's notebook, which his father had mailed to him before he went missing. Indy arrives in Venice, where he enlists the help of a beautiful academic, Dr. Elsa Schneider, along with Marcus Brody and Sallah. Together they must stop the Nazis from recovering the power of eternal life and taking over the world!"
The Florida Project,"The story of a precocious six year-old and her ragtag group of friends whose summer break is filled with childhood wonder, possibility and a sense of adventure while the adults around them struggle with hard times."
Viridiana,"Viridiana is preparing to start her life as a nun when she is sent, somewhat unwillingly, to visit her aging uncle, Don Jaime. He supports her; but the two have met only once. Jaime thinks Viridiana resembles his dead wife. Viridiana has secretly despised this man all her life and finds her worst fears proven when Jaime grows determined to seduce his pure niece. Viridiana becomes undone as her uncle upends the plans she had made to join the convent."
Our Youth,"Jin Minase, a dedicated student, finds his routine disrupted when he repeatedly encounters Hirukawa, a classmate from a rough neighborhood. Their unexpected interactions make Jin question his own life choices."
m.A.A.d,"A double screen projection film portraying the city of Compton, and a beguiling non-linear paean to everyday moments of life, death and magic — with tracks from Kendrick Lamar's album ""good kid, m.A.A.d city"" as the soundtrack."
Dan and Phil's The Amazing Tour is Not on Fire,"Dan and Phil’s stage show ""The Amazing Tour Is Not On Fire"" comes to YouTube as a live performance movie on October 5th! Inspired by the best of their videos, live and interactive with a real audience—along with some surprises you’ll never see coming."
A Story of Yonosuke,"The year is 1987 and Japan is just reaching the peak of its economic success. Eighteen-year old Yonosuke Yokomichi arrives in Tokyo from Nagasaki. Ordinary in every way possible, he lives in a suburb far from the excitement of the big city and commutes to a university in the center of Tokyo."
Gavin & Stacey: The Finale,It’s five years since Nessa declared her love for Smithy – and a lot has happened since. Journey to Barry and Billericay to catch up with the gang for the very last time.
A Summer's Tale,"Awaiting his girlfriend Léna’s arrival at the Breton seaside resort of Dinard, Gaspard befriends—and flirts heavily with—two other women, the companionable ethnology student Margot and the sensual townie Solène, making for a rather complicated situation when Léna finally arrives."
Linkin Park and Friends Celebrate Life in Honor of Chester Bennington,The tribute concert in memory of Chester Bennington at Hollywood Bowl in Los Angeles.
Only Angels Have Wings,A traveling performer arrives at a remote South American port town where the head of an air freight service must risk his pilots' lives to earn a major contract.
Blade Runner,"In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans."
Up,"Carl Fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. But at age 78, life seems to have passed him by, until a twist of fate (and a persistent 8-year old Wilderness Explorer named Russell) gives him a new lease on life."
"Oslo, August 31st","A recovering drug addict is granted a day’s leave from rehab and returns to Oslo, where he reconnects with friends, faces the weight of his past, and struggles with uncertainty about his future. Over the course of one day, he drifts through encounters that reflect his longing for connection and his deep sense of alienation."
Secrets of the Whales,"Sigourney Weaver guides viewers on a journey to the heart of whale culture to experience the extraordinary communication skills and intricate social structures of five different whale species. With the help of new science and technology, viewers witness whales making lifelong friendships, teaching clan heritage and traditions to their young and grieving deeply for the loss of loved ones."
"His Motorbike, Her Island","After a series of chance meetings a shiftless motorbike enthusiast Ko begins a romance with a carefree girl Miyo, after teaching her to ride. When Miyo proves herself a biker prodigy Ko begins to fear that she is destined to crash."
Reminiscences of a Journey to Lithuania,"Jonas Mekas weaves an elegiac diary film from his 1971–72 return to Lithuania, chronicling a visit to his birthplace of Semeniškiai after decades in exile. Blending personal memory with documentary observation, the film becomes both a portrait of homecoming and a meditation on displacement, family, and the passage of time."
Through the Darkness,A team of tenacious detectives study the minds of murderers at a time when Korea's first serial murders terrorized the nation. Based on true events.
Lady Snowblood,Yuki's family is nearly wiped out before she is born due to the machinations of a band of criminals. These criminals kidnap and brutalize her mother but leave her alive. Later her mother ends up in prison with only revenge to keep her alive. She creates an instrument for this revenge by purposefully getting pregnant. Yuki never knows the love of a family but only killing and revenge.
The Guy Who Didn't Like Musicals,"Paul is an average guy. He likes movies, and pizza, and average guy things. He does not like... musicals. But Paul's small world is about to come crashing down under the weight of unspeakable terror! Now he must run, run for his life, as something sinister spreads, and grows, and sings, and dances! The town of Hatchetfield is plunged into a musical hell in... 'The Guy Who Didn't Like Musicals!'"
Zoku Owarimonogatari,"Graduation day is finally here, marking the end of Koyomi Araragi's eccentric high school life full of peculiar relationships with otherworldly beings. However, Araragi is unexpectedly absorbed into his own bathroom mirror and trapped inside a bizarre world where everything he knows is completely reversed—the haughty Karen Araragi is shorter than usual, poker-faced Yotsugi Ononoki is brimming with emotion, and cute ghost girl Mayoi Hachikuji is a grown woman! But not everything is as it seems."
Mad About Men,Flirtatious mermaid Miranda swaps places with a schoolteacher who has gone on holiday. All is well until she falls in love with a human.
Brazil,"Low-level bureaucrat Sam Lowry escapes the monotony of his day-to-day life through a recurring daydream of himself as a virtuous hero saving a beautiful damsel. Investigating a case that led to the wrongful arrest and eventual death of an innocent man instead of wanted terrorist Harry Tuttle, he meets the woman from his daydream, and in trying to help her gets caught in a web of mistaken identities, mindless bureaucracy and lies."
The Day of the Jackal,"An unrivalled and highly elusive lone assassin, the Jackal, makes his living carrying out hits for the highest fee. But following his latest kill, he meets his match in a tenacious British intelligence officer who starts to track down the Jackal in a thrilling cat-and-mouse chase across Europe, leaving destruction in its wake."
Stewart Lee: Carpet Remnant World,"What can a sexless middle aged married man, whose life now consists mainly of watching Scooby Doo cartoons with a four year old boy, possibly find to write comedy about? Formerly stand-up s youthful iconoclast, Lee now gawps blankly at News 24 as Britain burns down around him, and blinks weirdly at the vast wayside retail outlets during endless journeys to and from increasingly indistinct provincial theatres. Once he lived on the pleasure planet. Now he is trapped in Carpet Remnant World"
Real Madrid: Until the End,"Step onto the field and go behind the scenes with the iconic soccer team for a look at their astonishing 2021–2022 season. Fueled by their fervent fans, they defy the odds and silence the skeptics."
Marvel Studios Assembled: The Making of X-Men '97,"Spend time with the original cast, along with new voices, as this behind-the-scenes special recalls the birth of ""X-Men: The Animated Series,"" and its revival thirty years later as ""X-Men '97."""
Betty Tells Her Story,"A woman tells the story of how she bought an expensive dress that she never got to wear, and then tells the story again focusing on her feelings about the events she described."
The Kingdom of Dreams and Madness,"Follows the behind-the-scenes work of Studio Ghibli, focusing on the notable figures Hayao Miyazaki, Isao Takahata, and Toshio Suzuki."
The Count of Monte Cristo,"Edmond Dantès becomes the target of a sinister plot and is arrested on his wedding day for a crime he did not commit. After 14 years in the island prison of Château d’If, he manages a daring escape. Now rich beyond his dreams, he assumes the identity of the Count of Monte-Cristo and exacts his revenge on the three men who betrayed him."
Bitter Lake,An experimental documentary that explores Saudi Arabia's relationship with the U.S. and the role this has played in the war in Afghanistan.
Chadwick Boseman: A Tribute for a King,"A tribute to Chadwick Boseman, celebrating his life and legacy."
Made in Abyss,"Located in the center of a remote island, the Abyss is the last unexplored region, a huge and treacherous fathomless hole inhabited by strange creatures where only the bravest adventurers descend in search of ancient relics. In the upper levels of the Abyss, Riko, a girl who dreams of becoming an explorer, stumbles upon a mysterious little boy."
Juvenile Court,"JUVENILE COURT shows the complex variety of cases before the Memphis Juvenile Court: foster home placement, drug abuse, armed robbery, child abuse, and sexual offenses. The sequences illustrate such issues as community protection vs. the desire for rehabilitation, the range and the limits of the choices available to the court, the psychology of the offender, and the constitutional and procedural questions involved in administering a juvenile court."
The Concert for Bangladesh,"A film about the first benefit rock concert when major musicians performed to raise relief funds for the poor of Bangladesh. The Concert for Bangladesh was a pair of benefit concerts organised by former Beatles guitarist George Harrison and Indian sitar player Ravi Shankar. The shows were held at 2:30 and 8:00 pm on Sunday, 1 August 1971, at Madison Square Garden in New York City, to raise international awareness of, and fund relief for refugees from East Pakistan, following the Bangladesh Liberation War-related genocide."
Father of a Soldier,"During World War II, оld Georgian peasant wine-grower Georgy leaves his Georgian village and goes off to the front line, hoping to find his son. George should see and transfer a lot of things, he becomes a soldier and only in the last days of war finds the son..."
Mysteries of Lisbon,"The tragic story of the many lives of Father Dinis, his dark origins and his pious works, and the different fates of all those who, trapped in a sinister web of love, hate and crime, cross paths with him through years of adventure."
Fishmans,"The words I promised to Kin-ichi Motegi, 'This is the first and last. I tell you everything about Fishmans without telling a lie.' The friends who made the sound of Fishmans devoted their lives to music. Shinji Sato's way of life is packed in this movie for nearly three hours."
"Heidi, Girl of the Alps","After becoming an orphan, Heidi is forced to live with her grandfather Öhi who lives in the mountain Alps. However he is a very bitter man who only accepts to take her in by force. Heidi's kindness may be able to open Öhi's heart. Along with Peter the goat carer and the crippled Klara, Heidi has a lot of adventures."
The Eight Mountains,"An epic journey of friendship and self-discovery set in the breathtaking Italian Alps, The Eight Mountains follows over four decades the profound, complex relationship between Pietro and Bruno."
Umamusume: Pretty Derby - Beginning of a New Era,"Jungle Pocket, an Umamusume who has been racing tirelessly in pursuit of becoming the greatest, is ready to take on the once-in-a-lifetime Classic Triple Crown series. However, standing in her way are rivals from the same generation, whose talent may even surpass her own."
Blow Out,"While recording sound effects for a slasher flick, Jack Terry stumbles upon a real-life horror: a car careening off a bridge and into a river. Jack jumps into the water and fishes out Sally from the car, but the other passenger is already dead — a governor intending to run for president. As Jack does some investigating of his tapes, and starts a perilous romance with Sally, he enters a tangled web of conspiracy that might leave him dead."
Long-Haired Hare,Bugs Bunny vs. a famous opera singer at the Hollywood Bowl.
Johnny Guitar,"On the outskirts of town, the hard-nosed Vienna owns a saloon frequented by the undesirables of the region, including Dancin' Kid and his gang. Another patron of Vienna's establishment is Johnny Guitar, a former gunslinger and her lover. When a heist is pulled in town that results in a man's death, Emma Small, Vienna's rival, rallies the townsfolk to take revenge on Vienna's saloon – even without proof of her wrongdoing."
I Am a Fugitive from a Chain Gang,A World War I veteran’s dreams of becoming a master architect evaporate in the cold light of economic realities. Things get even worse when he’s falsely convicted of a crime and sent to work on a chain gang.
"Black Cat, White Cat","Matko is a small time hustler, living by the Danube with his 17-year-old son Zare. After a failed business deal he owes money to the much more successful gangster Dadan. Dadan has a sister, Afrodita, that he desperately wants to see get married so they strike a deal: Zare is to marry her."
JoJo’s Bizarre Adventure: Battle Tendency,"The story follows the misadventures of Joseph Joestar, grandson of Jonathan. Joseph's journey involves mastering his innate Hamon abilities."
The Wild Bunch,"An aging group of outlaws look for one last big score as the ""traditional"" American West is disappearing around them."
Last Twilight,"A struggling student becomes a caregiver to a fading badminton star, and as his sight slips away, the two forge a bond tested by time and fate."
Roots,"The epic tale of celebrated Pulitzer-prize winning author Alex Haley's ancestors as portrayed in the acclaimed twelve hour mini-series Roots, was first told in his 1976 bestseller Roots: The Saga of an American Family. The docu-drama covers a period of history that begins in mid-1700s Gambia, West Africa and concludes during post-Civil War United States, over 100 years later. This 1977 miniseries eventually won 9 Emmy awards, a Golden Globe award, and a Peabody award, and still stands as the most watched miniseries in U.S. history."
And Then We Danced,"Merab, a devoted dancer, has been training for years with his partner Mary for a spot in the National Georgian Ensemble. The arrival of another male dancer, Irakli, sparks both an intense rivalry and romantic desire that may cause Merab to risk his future in dance as well as his relationships."
The Blue Planet,"A look at the passage of time through the changing seasons, human evolution and everyday life."
The Crowd,"John, an ambitious but undisciplined New York City office worker, meets and marries Mary. They start a family, struggle to cope with marital stress, financial setbacks, and tragedy, all while lost amid the anonymous, pitiless throngs of the big city."
Nine Inch Nails: And All That Could Have Been,Rob Sheridan and other members of the band's crew filmed the Fragility 2.0 tour using consumer DV cameras.
The Final Exit of the Disciples of Ascensia,"After receiving a VHS tape claiming she's a disciple of an alien species known as the ""True Mothers,"" Amy joins a local UFO cult, donning the name Celisse and befriending a number of other members while under the watch of the cult's peculiar founder, Ascensia."
Twenty One Pilots: City Walls,"The short film concludes Twenty One Pilots’ long-running DEMA storyline. Spanning nearly ten minutes, it revisits characters and imagery from earlier chapters like “Jumpsuit” and “HeavyDirtySoul.” Set in a dystopian world, it follows Tyler Joseph and Josh Dun as they confront the forces that have controlled them."
Simon & Garfunkel: The Concert in Central Park,"The Concert in Central Park is a live album by Simon & Garfunkel. On September 19, 1981 the folk-rock duo reunited for a free concert on the Great Lawn of New York's Central Park attended by more than 500,000 people. They released a live album from the concert the following March (Warner Brothers LP 2BSK 3654; CD 3654). It was arranged by Paul Simon and Dave Grusin, and produced by Paul Simon, Art Garfunkel, Phil Ramone and Roy Halee. The concert was also shot on videotape, televised by HBO in 1982, and subsequently released on various home video formats. The VHS and DVD contain two songs that were omitted from the live album: ""The Late Great Johnny Ace"" and ""Late in the Evening (Reprise)"". ""Johnny Ace"" was disrupted by a fan rushing the stage who came very close to attacking Paul. This incident was both frightening and coincidental, as the song is an elegy upon the murder of John Lennon just one year earlier."
This Is England,"A story about a troubled boy growing up in England, set in 1983. He comes across a few skinheads on his way home from school, after a fight. They become his new best friends, even like family. Based on experiences of director Shane Meadows."
To Kill a Mockingbird,"Scout Finch, 6, and her older brother Jem live in sleepy Maycomb, Alabama, spending much of their time with their friend Dill and spying on their reclusive and mysterious neighbor, Boo Radley. When Atticus, their widowed father and a respected lawyer, defends a black man named Tom Robinson against fabricated rape charges, the trial and tangent events expose the children to evils of racism and stereotyping."
Beyoncé Presents: Making The Gift,"Beyoncé takes viewers on a journey through Africa with an hour-long documentary special, an intimate behind-the-scenes look at the making of the album, The Lion King: The Gift, featuring candid footage and interviews detailing the hard work and passion that went into her love letter to Africa."
Tomorrow,"Once guiding the 'dead', now saving those who want to die! The Afterlife Office Human Fantasy."
Certified Copy,"In Tuscany to promote his latest book, a middle-aged English writer meets a French woman who leads him to the village of Lucignano."
Ghost in the Shell,"In the year 2029, the barriers of our world have been broken down by the net and by cybernetics, but this brings new vulnerability to humans in the form of brain-hacking. When a highly-wanted hacker known as 'The Puppetmaster' begins involving them in politics, Section 9, a group of cybernetically enhanced cops, are called in to investigate and stop the Puppetmaster."
Gavin & Stacey Christmas Special 2008,"As Nessa and the Wests head to Essex to spend Christmas with the Shipmans, Gavin and Stacey have a startling announcement to make."
Another Round,Four stagnant high school teachers decide to test out a theory that maintaining a constant level of intoxication will improve their overall lives.
Ee.Ma.Yau.,"Set in Chellanam, Kochi, the story revolves around the death of Vavachan Mesthiri in a coastal village. It showcases the events that unfold between two evenings and looks at death from different perspectives."
My Name,"Following her father's murder, a revenge-driven woman puts her trust in a powerful crime boss — and enters the police force under his direction."
Roma,"In 1970s Mexico City, two domestic workers help a mother of four while her husband is away for an extended period of time."
Rocky,"Rocky Balboa is a Philadelphia club fighter who seems to be going nowhere. But when a stroke of fate puts him in the ring with a world heavyweight champion, Rocky knows that it's his one shot at the big time — a once-in-a-lifetime opportunity to go the distance and come out a winner!"
Paprika,"When a machine that allows therapists to enter their patient's dreams is stolen, all hell breaks loose. Only a young female therapist can stop it and recover it before damage is done: Paprika."
Hey Ram,Saketh Ram's wife is raped and killed during direct action day riots in Calcutta. He is convinced that Mahatma Gandhi is responsible for all the problems happening in the country. He sets out to kill him.
At the First Breath of Wind,"Set on an August afternoon in the Lombardy countryside, a family lingers around the table after a long summer meal. As the day stretches on, each member moves off to their own activities, quietly passing the hours."
Revolution of Our Times,"Throughout Hong Kong’s history, Hongkongers have fought for freedom and democracy but have yet to succeed. In 2019, a controversial extradition bill was introduced that would allow Hongkongers to be tried in mainland China. This decision spurred massive protests, riots, and resistance against heavy-handed Chinese rule over the City-State. Award-winning director Kiwi Chow documents the events to tell the story of the movement, with both a macro view of its historical context and footage and interviews from protestors on the front lines."
Secret Sunshine,"Shin-ae moves to her recently late husband’s hometown. Despite her efforts to settle in this unfamiliar and too-normal place, she finds that she can’t fit in. After a sudden tragedy, Shin-ae turns to Christianity to relieve her pain, but when even this is not permitted, she wages a war against God."
Die Nibelungen: Kriemhild's Revenge,"When Kriemhild, thirsty for revenge, marries to Etzel, king of the Huns, she invites King Gunther and his court to visit them, intending to finally take the life of the man responsible of her disgrace."
Burden of Dreams,"The Amazon rain forest, 1979. The crew of Fitzcarraldo (1982), a film directed by German director Werner Herzog, soon finds itself with problems related to casting, tribal struggles and accidents, among many other setbacks; but nothing compared to dragging a huge steamboat up a mountain, while Herzog embraces the path of a certain madness to make his vision come true."
Rowan Atkinson Live,"Rowan Atkinson and Angus Deayton in Boston doing a live performance of the same styles of humor we've seen in Mr. Bean and Blackadder. Included are lessons on Shakespearean acting, a school headmaster meeting with the father of a boy he's beaten to death, and tips for having a successful date."
Los Angeles Plays Itself,"From its distinctive neighborhoods to its architectural homes, Los Angeles has been the backdrop to countless movies. In this dazzling work, Andersen takes viewers on a whirlwind tour through the metropolis' real and cinematic history, investigating the myriad stories and legends that have come to define it, and meticulously, judiciously revealing the real city that lives beneath."
Adele One Night Only,"A primetime special with performances from the superstar including Adele’s first new material in six years plus her chart-topping hits. The special will also feature an exclusive interview with Adele by Oprah Winfrey from her rose garden, in Adele’s first televised wide-ranging conversation."
Death's Game,"At the brink of going to hell, Yee-jae must cycle through twelve separate lives and twelve separate deaths in this reincarnation drama."
Tekkonkinkreet,"Two penniless orphans, Black and White, struggle to survive on the mean streets of Treasure Town. When a megacorporation threatens to tear down the town to build an amusement park, Black and White engage in the fight of their life."
Kill Bill: Vol. 2,"The Bride unwaveringly continues on her roaring rampage of revenge against the band of assassins who had tried to kill her and her unborn child. She visits each of her former associates one-by-one, checking off the victims on her Death List Five until there's nothing left to do … but kill Bill."
The Simpsons Christmas Special,"According to Bart Simpson, ""If TV taught me anything , it's that miracles always happen to poor kids at Christmas. It Happened to Tiny Tim, it happened to the Smurfs, and it's going to happen to us."" But it better happen fast. The Simpsons are in a Yuletide jam-there's no money for presents, and they may have to cancel Christmas! Before the crisis ends, Homer gets a job as a part-time Santa, Bart gets a tattoo, and the whole family- even Grandpa and Marge's nasty sisters- gets into the holiday spirit when they discover the true meaning of Christmas."
All Your Faces,"Since 2014, France's restorative justice programmes have offered a safe space for supervised dialogue between offenders and victims. Grégoire, Nawelle, and Sabine, victims of heists and violent robberies, agree to join one of these discussion groups alongside offenders Nassim, Issa, and Thomas, all convicted of violent robberies. Meanwhile Chloé, a victim of childhood sexual abuse, prepares for dialogue with her own agressor after learning he has moved back into town."
